YearX,PreSeasonForecast,FinalRunSize,FinalTAC,ForecastTAC,FinalCatch,SoxA20,PinkA20,SoxTotalN,PinkTotalN
1987,11000000,7171773,3812000,5000000,3948252,12-Aug,25-Aug,7644688,7171773
1989,17000000,16484275,8340000,10900000,9295074,12-Aug,5-Sep,18467796,16484275
1991,11000000,22173639,9955000,6480000,9230804,14-Aug,4-Sep,12359751,22173639
1993,31000000,16983498,5450000,21450000,6215163,15-Aug,2-Sep,23576662,16983498
1995,18000000,12903708,5614000,12000000,5729124,7-Aug,29-Aug,3880668,12903708
1997,11387000,8175964,NA,5387000,5333856,14-Aug,1-Sep,16548110.82,8175964
1999,8148000,3608265,148000,2148000,163283,9-Aug,7-Sep,3642164.675,3608265
2001,5468000,21261774,1412000,615000,1448154,7-Aug,2-Sep,7185216.707,21261774
2003,17273000,24250000,18157000,11253000,2068970,9-Aug,25-Aug,4852906,24250000
2005,16318000,9870000,3990000,10308000,1060376,23-Aug,25-Aug,6889126,9870000
2007,19600000,8490000,5000000,13600000,839948,10-Aug,22-Aug,1566370,8490000
2009,18000000,19936153,13490000,11525000,4507317,6-Aug,28-Aug,1594425.062,19936153
2011,17000000,20645120,12290000,11485000,7860611.879,10-Aug,28-Aug,5154906.062,20645119.62
2013,8900000,15897819,18160800,2843000,6553328.975,9-Aug,28-Aug,4180067.213,15897819.05
2015,14000000,5812085,661000,8244000,496240.1328,10-Aug,22-Aug,2005629.812,5812085.419
2017,8700000,3563091,273200,2615300,170932.0853,12-Aug,18-Aug,1640513.997,3563091.085
2019,5000000,8858203,2882760,528400,550783.9853,14-Aug,17-Aug,563989.3167,8858203.465
2021,3000000,8083199,1995000,188500,241561.2848,15-Aug,20-Aug,2562100,8083199.369
