Parameter,Prior,Bounds,Description
$ln(\\alpha)$,"$\\sim N(1,2)$","$[0,\\inf]$",Natural log of intrinsic rate of growth
$ln(\\beta)$,$\\sim N(ln(1/S_{MAX}) - 0.5\\sigma_{S_{MAX}}^2)$,,"Magnitude of within brood-year density-dependence, where $S_{MAX}$ is the maximum spawner abundance times 0.75."
$\\phi$,"$\\sim U(-1,1)$","$[-1,1]$",Lag-one correlation in interannual variation in survival
$\\sigma_R$,"$\\sim N(1,2)$","$[0,\\inf]$",White noise process standard deviation in survival.
$ln(R_0)$,"$\\sim N(0,20)$","$[0,\\inf]$",Natural log of unobserved recruitment in the first seven years of process model.
$\\sigma_{R_0}$,"$\\sim Inv-Gamma(2,1)$","$[0,\\inf]$",Standard deviation in unobserved recruitment in the first year of process model. 
