"year","lwr","mid_lwr","mid","mid_upr","upr"
1959,0.727222837120349,0.882945174433867,1.10559583154032,1.40101920294218,1.70588154760465
1961,0.828936967451109,1.00313098387725,1.2307285703132,1.49782087100844,1.81042171223771
1963,1.26877569145349,1.46978912544044,1.72659342783315,2.01836306753145,2.33791837669251
1965,1.12583336276603,1.29717077150717,1.51479927266718,1.78004133195445,2.02971502693012
1967,1.31076655399058,1.48885312354041,1.73520611679678,2.03176348676906,2.3534272634594
1969,1.28869294517002,1.48897284134458,1.7465778937027,2.02322335137331,2.33684295830089
1971,1.39162317828567,1.60361389211153,1.86299781314469,2.17473667466933,2.4960586508787
1973,1.32190830677433,1.5126587735767,1.75206532419661,2.0535713668798,2.34644256408494
1975,1.13369640364011,1.30747429548361,1.51705815685917,1.7654637487179,2.01696891272488
1977,1.91530943253352,2.20382976581539,2.56245443896477,2.97842948655333,3.40011592839803
1979,2.8915774978108,3.30159308457081,3.8460088927451,4.43338792619743,5.05999079161914
1981,3.48389425376951,3.96541397489118,4.62077908410282,5.36143988968436,6.14647991808446
1983,3.64229501160185,4.23550758041487,4.91180675599718,5.68590562733438,6.60539012059096
1985,4.46346963887305,5.14991510628757,6.16488518586553,7.25491935021423,8.49709758054734
1987,2.71866516660217,3.11973935088065,3.64514448079028,4.25848163494165,4.85116241201909
1989,5.26979404772101,6.05466193342814,7.09943997111888,8.27890215012178,9.52496419520322
1991,9.13044412958197,10.4295455413167,12.207058151944,14.1962727916935,16.124283801442
1993,8.220362868664,9.20902862044421,10.5174632244766,11.9642723017578,13.4061650263418
1995,5.44572244753993,6.12965557761386,7.03362416208859,8.03837860087178,9.0634062991853
1997,2.15742041348426,2.41937276993822,2.76238424511089,3.16358444901341,3.55210184552124
1999,2.95772030431763,3.33075841171918,3.78061982216062,4.32243573165539,4.87575466548064
2001,13.649698233029,15.125714077823,17.1865516868057,19.4826825834519,21.9272078029585
2003,9.46081886690293,12.1523167413352,15.9751099636382,20.7767640468132,27.1096149250955
2005,4.92698230864707,6.30927695346877,8.42528235131122,11.1090226734377,14.4245760751515
2007,5.28231631958911,6.59976964174929,8.40946746690538,10.6273151205421,13.1069094232089
2009,13.3725093706498,14.1640303363491,15.0967621557687,16.1265523959125,17.0774242393401
2011,11.1255168402016,11.8007573480116,12.6167081516464,13.4818192056961,14.3288775704591
2013,8.13053218936453,8.66548674226006,9.27975679247868,9.92275303044403,10.5511963689241
2015,4.68708822048919,4.9683184115379,5.30150920200463,5.6439340593901,6.00741562514512
2017,3.05427300537954,3.24234646172356,3.4749732427161,3.71114347090865,3.94039197045127
2019,7.22267463916356,7.63432301237583,8.18533792974641,8.75340410764342,9.27834286567866
2021,6.93774315176081,7.36620277816233,7.8668386798359,8.42185158792172,8.93498645672305
2023,8.4484876109257,8.96120545553388,9.56049103305066,10.2170366280451,10.8396657263453
